participant_group_id,session_id,scale,metric,median,participant_mean,within_deviation,between_component,decomposition_status
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04631428004900928,0.09874903793329022,-0.05243475788428094,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04627964735494706,0.09874903793329022,-0.05246939057834316,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.045058416033897215,0.09874903793329022,-0.053690621899393005,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.046177683312908495,0.09874903793329022,-0.052571354620381726,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.046769093439845075,0.09874903793329022,-0.051979944493445146,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04617036973209422,0.09874903793329022,-0.052578668201196,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.044579492635582744,0.09874903793329022,-0.054169545297707476,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.045665904740164034,0.09874903793329022,-0.053083133193126186,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04401345279102632,0.09874903793329022,-0.0547355851422639,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04442602204280405,0.09874903793329022,-0.05432301589048617,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04397910358996539,0.09874903793329022,-0.05476993434332483,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04459100296263286,0.09874903793329022,-0.05415803497065736,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04177333513302928,0.09874903793329022,-0.056975702800260944,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04110493862048348,0.09874903793329022,-0.05764409931280674,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04214909705201526,0.09874903793329022,-0.056599940881274964,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.0465892775615148,0.09874903793329022,-0.05215976037177542,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04651417451746324,0.09874903793329022,-0.05223486341582698,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.04609963105338795,0.09874903793329022,-0.05264940687990227,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.045181315479623216,0.09874903793329022,-0.053567722453667005,0.09874903793329022,estimable
P-18A2FC7D4E,sub-031,probe_pre30s,body_motion_energy_median,0.044552899811018676,0.09874903793329022,-0.054196138122271545,0.09874903793329022,estimable
P-326C04EAEB,sub-032,probe_pre30s,body_motion_energy_median,0.0370221862369869,0.03680870334714017,0.00021348288984673197,0.03680870334714017,estimable
P-326C04EAEB,sub-032,probe_pre30s,body_motion_energy_median,0.03749310603531626,0.03680870334714017,0.0006844026881760931,0.03680870334714017,estimable
P-326C04EAEB,sub-032,probe_pre30s,body_motion_energy_median,0.037269855552618116,0.03680870334714017,0.00046115220547794655,0.03680870334714017,estimable
P-326C04EAEB,sub-032,probe_pre30s,body_motion_energy_median,0.03721923586353733,0.03680870334714017,0.0004105325163971593,0.03680870334714017,estimable
P-326C04EAEB,sub-032,probe_pre30s,body_motion_energy_median,0.037432635271990734,0.03680870334714017,0.0006239319248505654,0.03680870334714017,estimable
P-326C04EAEB,sub-032,probe_pre30s,body_motion_energy_median,0.03655431332625472,0.03680870334714017,-0.0002543900208854463,0.03680870334714017,estimable
P-326C04EAEB,sub-032,probe_pre30s,body_motion_energy_median,0.03704247546835132,0.03680870334714017,0.00023377212121115237,0.03680870334714017,estimable
P-326C04EAEB,sub-032,probe_pre30s,body_motion_energy_median,0.03713026403743316,0.03680870334714017,0.00032156069029298795,0.03680870334714017,estimable
P-326C04EAEB,sub-032,probe_pre30s,body_motion_energy_median,0.03614697615157173,0.03680870334714017,-0.0006617271955684373,0.03680870334714017,estimable
