combination,outcome,model,fold_group,n_train_rows,n_test_rows,test_categories,model_failed,model_reason,roc_auc_ovr_macro,balanced_accuracy,macro_f1,log_loss
M0,q1,logistic,P-AE146C9DF8,2140,40,"1,2,3",False,,0.5805505258630258,0.3333333333333333,0.2962962962962963,0.6072726658355518
M0,q1,logistic,P-AE42FA6330,2160,20,"1,2,3,4",False,,0.6829885800474036,0.25,0.1346153846153846,1.6591364216380307
M0,q1,logistic,P-AF79D1DE3B,2160,20,"1,2,3,4",False,,0.7087616099071207,0.25,0.1,1.8791659201042772
M0,q1,logistic,P-B561FC8AA0,2160,20,"1,2",False,,0.8823529411764706,0.5,0.4594594594594595,0.4614071318570495
M0,q1,logistic,P-B687D84AC3,2160,20,1,False,,,1.0,1.0,0.26627271411898407
M0,q1,logistic,P-BAAF612E97,2160,20,"1,2,3",False,,0.8079975579975581,0.3333333333333333,0.2626262626262626,0.8105295899765987
M0,q1,logistic,P-BABD47FD2A,2140,40,"1,2",False,,0.9,0.5,0.4666666666666667,0.4308604419645995
M0,q1,logistic,P-BD38D55D80,2120,60,1,False,,,1.0,1.0,0.36011752526007784
M0,q1,logistic,P-BD4404A67C,2120,60,"1,2,3,4",False,,0.5502329120246711,0.25,0.18085106382978725,1.1422090437304027
M0,q1,logistic,P-C27F41C52B,2120,60,"1,2,4",False,,0.5635773558445543,0.3333333333333333,0.24113475177304966,0.9854815552933153
M0,q1,logistic,P-C783B3EE0A,2140,40,"1,3",False,,0.9605263157894737,0.5,0.48717948717948717,0.48702708842719966
M0,q1,logistic,P-CB0D54D7B6,2160,20,"1,2,3,4",False,,0.7274265766912826,0.25,0.15517241379310345,1.3998647868279757
M0,q1,logistic,P-CE34173F77,2160,20,"1,2,3",False,,0.7438949938949939,0.3333333333333333,0.2626262626262626,0.8078898889108437
M0,q1,logistic,P-D7469723BB,2160,20,"1,2,4",False,,0.6541176470588236,0.3333333333333333,0.25,1.130503222218659
M0,q1,logistic,P-ECFB6C2EB9,2160,20,"1,2",False,,1.0,0.9736842105263157,0.8198198198198199,0.5477691246582176
M0,q1,logistic,P-EDDA35F3C7,2160,20,"1,2,3,4",False,,0.5844706253713607,0.25,0.047619047619047616,2.507536913484894
M0,q1,logistic,P-EFFF04CC6B,2140,40,"1,2",False,,0.47135416666666663,0.5,0.375,0.8752720595934586
M0,q1,logistic,P-F3CCAA8842,2120,60,1,False,,,0.9333333333333333,0.4827586206896552,0.549365285539886
M0,q1,logistic,P-FE9CDC44BE,2140,40,"1,2,3",False,,0.5206993527306026,0.3333333333333333,0.09929078014184396,1.2993725973951782
M0,q1,random_forest,P-001F33A876,2120,60,"1,2,3",False,,0.6705759530935248,0.4056847545219638,0.40356744704570796,0.7714146509278532
M0,q1,random_forest,P-07BDD08C0C,2120,60,"1,2,3",False,,0.6788865039281706,0.3333333333333333,0.28205128205128205,0.8678501005470033
M0,q1,random_forest,P-100AE58C58,2160,20,"1,2,3",False,,0.5419771241830066,0.3055555555555555,0.24444444444444444,1.4234879380196246
M0,q1,random_forest,P-11AD0DCE87,2140,40,1,False,,,0.95,0.48717948717948717,0.4216503051163743
M0,q1,random_forest,P-12AD0E59EB,2160,20,"1,2",False,,0.2894736842105263,0.3684210526315789,0.4117647058823529,0.6579010996642476
M0,q1,random_forest,P-18A2FC7D4E,2120,60,"1,2,3",False,,0.6130801888406383,0.367816091954023,0.29238505747126436,0.9602994670405623
M0,q1,random_forest,P-1A38BC21DA,2120,60,"1,2,3",False,,0.5535977478846836,0.3333333333333333,0.26666666666666666,0.9928318675907225
M0,q1,random_forest,P-1A815101A0,2140,40,"1,2,3",False,,0.8237362575820236,0.342741935483871,0.33416252072968494,0.61597898869274
M0,q1,random_forest,P-1CA9C1E745,2140,40,1,False,,,1.0,1.0,0.2362466869656517
M0,q1,random_forest,P-244F9886F5,2160,20,"1,2,3",False,,0.5513892425657132,0.3333333333333333,0.16666666666666666,2.097788198302808
M0,q1,random_forest,P-247758AEAC,2140,40,"1,2",False,,0.6347962382445141,0.6191222570532915,0.6307692307692307,0.6907932707782676
M0,q1,random_forest,P-326C04EAEB,2160,20,"1,2",False,,0.6263736263736264,0.5,0.3939393939393939,0.7962687048057093
M0,q1,random_forest,P-390B245CCC,2140,40,"1,2",False,,0.5126262626262627,0.5,0.3548387096774194,1.0375263271717154
M0,q1,random_forest,P-39DC795FB0,2120,60,"1,2,4",False,,0.43598832437745666,0.2765957446808511,0.2653061224489796,0.9545767591628211
M0,q1,random_forest,P-3D44F7B564,2160,20,1,False,,,0.6,0.375,0.7187512376995301
M0,q1,random_forest,P-3FD25AB949,2160,20,"1,2,3",False,,0.8315723019670388,0.375,0.3185185185185185,0.8976110153899723
M0,q1,random_forest,P-42CD4FF02E,2160,20,"1,2,3",False,,0.5641534391534392,0.3055555555555555,0.24444444444444444,1.0907303891785751
M0,q1,random_forest,P-484A6A61BE,2120,60,"1,2,3,4",False,,0.5704883567319382,0.2638888888888889,0.15367965367965367,1.9457034194704173
M0,q1,random_forest,P-48B7FC4062,2160,20,"1,2,3",False,,0.5344444444444445,0.3111111111111111,0.2745098039215686,0.9793855722660713
M0,q1,random_forest,P-4CEF5A2144,2140,40,"1,2",False,,0.4729729729729729,0.5,0.4805194805194805,0.5180176491887573
M0,q1,random_forest,P-4D14B12359,2120,60,1,False,,,0.9666666666666667,0.4915254237288136,0.4876505699592075
M0,q1,random_forest,P-4D43A127BA,2160,20,"1,2",False,,0.5078125,0.46875,0.42857142857142855,0.7028903951256922
M0,q1,random_forest,P-541A203CCD,2100,80,"1,4",False,,0.4675,0.475,0.12794612794612795,3.048577028836538
M0,q1,random_forest,P-547A3B4455,2160,20,"2,3",False,,0.4453125,0.125,0.13333333333333333,1.6849343224625357
M0,q1,random_forest,P-54C61641A8,2140,40,"1,2",False,,0.8695054945054945,0.6785714285714286,0.6893874029335634,0.6535236609686054
M0,q1,random_forest,P-54FD02BC9C,2140,40,"1,2",False,,0.7402597402597403,0.6991341991341992,0.7364953886693018,0.5585206606379908
M0,q1,random_forest,P-5E54A83C78,2140,40,"1,2,3,4",False,,0.607614546839207,0.4852941176470588,0.31212121212121213,1.7667081717664026
M0,q1,random_forest,P-67DCF8869F,2160,20,"1,2,4",False,,0.7341830065359477,0.5,0.4458333333333333,0.7871671325967099
M0,q1,random_forest,P-77327DFF2A,2160,20,"1,2,4",False,,0.6462595139065727,0.393939393939394,0.2691511387163561,1.4048301340755334
M0,q1,random_forest,P-7A6E877C97,2140,40,1,False,,,0.975,0.4936708860759494,0.32567920364719816
M0,q1,random_forest,P-7BC40AF359,2160,20,"1,2,4",False,,0.6403508771929824,0.2777777777777778,0.2857142857142857,0.7517143991885333
M0,q1,random_forest,P-7E974EA92D,2160,20,"1,2,3",False,,0.4233674463937622,0.3333333333333333,0.23655913978494625,1.1418212412632491
M0,q1,random_forest,P-8016036889,2120,60,"1,2,3,4",False,,0.5680634268795581,0.2642857142857143,0.14410855376159395,1.553159105376275
M0,q1,random_forest,P-80904DAF11,2160,20,"1,2,3",False,,0.5130621693121693,0.30952380952380953,0.2626262626262626,0.9977523136708072
M0,q1,random_forest,P-826248DDD8,2140,40,"1,4",False,,0.8717948717948718,0.48717948717948717,0.3247863247863248,0.353267184324085
M0,q1,random_forest,P-8405CEC183,2160,20,"1,2,3,4",False,,0.5526493791296423,0.2569444444444444,0.2025,1.5530430905975974
M0,q1,random_forest,P-8EB079D859,2160,20,1,False,,,1.0,1.0,0.3586512645869166
M0,q1,random_forest,P-8EB2F3E5EB,2140,40,1,False,,,0.975,0.4936708860759494,0.45864310298944966
M0,q1,random_forest,P-90ADD44D40,2160,20,"1,2,3,4",False,,0.5660872522085757,0.20833333333333334,0.10416666666666667,2.1757853157764444
M0,q1,random_forest,P-942BF8DF1B,2120,60,"1,2,3,4",False,,0.5430576202331747,0.19148936170212766,0.1935483870967742,0.9224018604789387
M0,q1,random_forest,P-95F33174C1,2120,60,1,False,,,0.9666666666666667,0.4915254237288136,0.43615500219411757
M0,q1,random_forest,P-9EF7F8A151,2160,20,"1,2,3,4",False,,0.6076423576423576,0.2694805194805195,0.23669467787114845,1.1133971902791928
M0,q1,random_forest,P-AE146C9DF8,2140,40,"1,2,3",False,,0.6843655476467977,0.38095238095238093,0.3838028169014085,0.5730073470242368
M0,q1,random_forest,P-AE42FA6330,2160,20,"1,2,3,4",False,,0.5717517776341305,0.25,0.14,1.940559352224621
M0,q1,random_forest,P-AF79D1DE3B,2160,20,"1,2,3,4",False,,0.5814629264784064,0.2833333333333333,0.18695652173913044,2.0068929611221704
M0,q1,random_forest,P-B561FC8AA0,2160,20,"1,2",False,,0.892156862745098,0.47058823529411764,0.4444444444444444,0.43449150818638227
M0,q1,random_forest,P-B687D84AC3,2160,20,1,False,,,1.0,1.0,0.13459266210030602
M0,q1,random_forest,P-BAAF612E97,2160,20,"1,2,3",False,,0.6714382109118952,0.3888888888888889,0.3629032258064517,0.8705682440132732
M0,q1,random_forest,P-BABD47FD2A,2140,40,"1,2",False,,0.8314285714285714,0.5,0.4666666666666667,0.3861612136497093
M0,q1,random_forest,P-BD38D55D80,2120,60,1,False,,,1.0,1.0,0.3440722782490351
M0,q1,random_forest,P-BD4404A67C,2120,60,"1,2,3,4",False,,0.5720887274438884,0.2833333333333333,0.24236874236874237,1.2324270937564303
M0,q1,random_forest,P-C27F41C52B,2120,60,"1,2,4",False,,0.5052196012694518,0.3466666666666667,0.2693686242073339,1.093403616936264
M0,q1,random_forest,P-C783B3EE0A,2140,40,"1,3",False,,0.8947368421052632,0.47368421052631576,0.32,0.48650522136840635
M0,q1,random_forest,P-CB0D54D7B6,2160,20,"1,2,3,4",False,,0.6394671504965622,0.25,0.15517241379310345,1.4965068244880562
M0,q1,random_forest,P-CE34173F77,2160,20,"1,2,3",False,,0.7223989460831567,0.39316239316239315,0.3862068965517242,0.81386904376935
M0,q1,random_forest,P-D7469723BB,2160,20,"1,2,4",False,,0.6607598039215686,0.3333333333333333,0.25,1.31049541786292
M0,q1,random_forest,P-ECFB6C2EB9,2160,20,"1,2",False,,0.9736842105263158,0.868421052631579,0.5670995670995671,0.6289525031031825
M0,q1,random_forest,P-EDDA35F3C7,2160,20,"1,2,3,4",False,,0.6027346071004159,0.25,0.05,2.9074442753969056
M0,q1,random_forest,P-EFFF04CC6B,2140,40,"1,2",False,,0.48307291666666663,0.40625,0.3592677345537757,0.9255976666622476
M0,q1,random_forest,P-F3CCAA8842,2120,60,1,False,,,0.9333333333333333,0.4827586206896552,0.49927656051440894
M0,q1,random_forest,P-FE9CDC44BE,2140,40,"1,2,3",False,,0.5190855151792652,0.3958333333333333,0.21908429610611893,1.4027015333724957
M0,q2,logistic,P-001F33A876,2120,60,"2,3,4",False,,0.5142131078344615,0.3333333333333333,0.16033755274261605,0.9640234526567896
M0,q2,logistic,P-07BDD08C0C,2120,60,"2,3,4",False,,0.4940037166780588,0.3333333333333333,0.21455938697318008,1.0532830962864932
M0,q2,logistic,P-100AE58C58,2160,20,4,False,,,0.0,0.0,0.9147801956481633
M0,q2,logistic,P-11AD0DCE87,2140,40,"2,3",False,,0.9871794871794872,0.3333333333333333,0.2626262626262626,0.8101846431156545
M0,q2,logistic,P-12AD0E59EB,2160,20,4,False,,,0.0,0.0,1.1151055237609975
M0,q2,logistic,P-18A2FC7D4E,2120,60,"2,3",False,,0.683125,0.425,0.1511111111111111,1.5520407765227096
M0,q2,logistic,P-1A38BC21DA,2120,60,"3,4",False,,0.3036363636363636,0.45454545454545453,0.45454545454545453,0.8230779985553566
M0,q2,logistic,P-1A815101A0,2140,40,"3,4",False,,0.5913978494623656,0.5,0.1836734693877551,0.9344662355556832
M0,q2,logistic,P-1CA9C1E745,2140,40,"2,3,4",False,,0.6363260582010583,0.3611111111111111,0.3052503052503052,0.9081375830682308
M0,q2,logistic,P-244F9886F5,2160,20,"3,4",False,,0.5625,0.5,0.16666666666666666,1.0115303695659132
M0,q2,logistic,P-247758AEAC,2140,40,"2,3",False,,0.41714285714285715,0.42857142857142855,0.2857142857142857,0.9482482714704343
M0,q2,logistic,P-326C04EAEB,2160,20,"2,3,4",False,,0.680871212121212,0.3333333333333333,0.19047619047619047,0.902494093809255
M0,q2,logistic,P-390B245CCC,2140,40,"2,3,4",False,,0.7620268277800039,0.3666666666666667,0.27899686520376177,1.0618060844833959
M0,q2,logistic,P-39DC795FB0,2120,60,"1,2,3,4",False,,0.5975851651415353,0.2811438561438562,0.21372608872608873,1.4156914310626962
M0,q2,logistic,P-3D44F7B564,2160,20,"2,3,4",False,,0.4136904761904762,0.3333333333333333,0.15384615384615385,1.2464920192146427
M0,q2,logistic,P-3FD25AB949,2160,20,"2,3,4",False,,0.5782385256069467,0.3333333333333333,0.19047619047619047,0.9218915975108732
M0,q2,logistic,P-42CD4FF02E,2160,20,"2,3,4",False,,0.5191630591630592,0.3333333333333333,0.20689655172413793,1.132883505593901
M0,q2,logistic,P-484A6A61BE,2120,60,"1,2,3,4",False,,0.5821373615491263,0.3214285714285714,0.24525474525474525,1.548148984983918
M0,q2,logistic,P-48B7FC4062,2160,20,"2,3,4",False,,0.4924143692564746,0.3333333333333333,0.13333333333333333,0.9634897754974242
M0,q2,logistic,P-4CEF5A2144,2140,40,"2,3,4",False,,0.6422442002442003,0.3333333333333333,0.1761006289308176,0.9642529871387818
M0,q2,logistic,P-4D14B12359,2120,60,"2,3,4",False,,0.6733374384236454,0.22023809523809523,0.2542955326460481,0.8802306921848718
M0,q2,logistic,P-4D43A127BA,2160,20,"2,3,4",False,,0.6357501975149034,0.34761904761904766,0.28835978835978837,0.9918326683902073
M0,q2,logistic,P-541A203CCD,2100,80,4,False,,,0.0,0.0,0.9927737697327682
M0,q2,logistic,P-547A3B4455,2160,20,3,False,,,1.0,1.0,0.8066535243323643
M0,q2,logistic,P-54C61641A8,2140,40,"2,3,4",False,,0.44411787043365997,0.31313131313131315,0.29107981220657275,0.8851037480038861
M0,q2,logistic,P-54FD02BC9C,2140,40,"2,3,4",False,,0.7549267107161844,0.39999999999999997,0.4166666666666667,0.8379900807331394
M0,q2,logistic,P-5E54A83C78,2140,40,"1,2,3,4",False,,0.6785504725159898,0.29545454545454547,0.17365967365967366,1.9965575535296565
M0,q2,logistic,P-67DCF8869F,2160,20,"2,3",False,,0.5885416666666666,0.4375,0.1728395061728395,1.5754835851179487
M0,q2,logistic,P-77327DFF2A,2160,20,"1,2,3,4",False,,0.601088056680162,0.25,0.14285714285714285,1.4160827695109537
M0,q2,logistic,P-7A6E877C97,2140,40,"2,3,4",False,,0.6020818399044205,0.2795698924731183,0.2626262626262626,0.9343056450863235
M0,q2,logistic,P-7BC40AF359,2160,20,"1,2,3",False,,0.4871031746031746,0.3333333333333333,0.15384615384615385,2.2816071011662102
M0,q2,logistic,P-7E974EA92D,2160,20,"2,3,4",False,,0.4976851851851852,0.3333333333333333,0.2745098039215686,0.9346004414152072
