headmotion,m0_uncorrected_rho,m2_rgb_corrected_rho
面框尺度（px）,-0.12481827622014538,0.06794416672704001
外眼角距离（px）,-0.13295539616991478,0.0983759569175783
内眦距离（px）,-0.12010432514670726,0.11241276051100003
头姿旋转幅度,-0.09204882996450048,0.026816634065058322
头姿平移幅度,-0.03568064913424618,-0.0891327972179961
