session_id,block_num,binocular_raw_median,bbox_scale_px,outer_eye_px,inner_canthus_px,rotation_mag,translation_mag
sub-056,1,36.902123226769774,303.0588455200193,121.014270582888,49.11053492855007,0.1139125252788627,4.910912026006783
sub-056,2,38.78181543704101,297.27989196777264,117.50831884327746,47.160297842208536,0.10765884432649568,4.94218560658074
sub-057,1,40.104096237758455,312.343505859375,119.99363696595003,49.60179557583495,0.0820058147415671,4.848138582331811
sub-057,2,41.16682492196127,286.3445129394515,112.10522936351768,46.8628282002135,0.055528576247162384,4.722439290025514
sub-058,1,42.455568606005706,308.5760803222656,118.22216989126647,49.485293232317844,0.060312745185829124,4.973909548242269
sub-058,2,42.64191888213356,315.8321533203125,121.19434039736032,49.875338500986196,0.05295952663182706,4.941749699534541
sub-059,1,33.51155977238956,292.882080078125,111.51962378294647,48.09447433921223,0.09857395983757528,4.880302147810037
sub-059,2,34.04289091934939,297.2113037109375,113.02613766255482,48.045090681569704,0.07513847381887734,4.942695742689228
sub-062,1,29.844164513148225,324.427169799804,126.1198673847168,51.52934195878325,0.0962959534690187,5.162608627506837
sub-062,2,31.906183703016318,325.885498046875,126.90589417167516,51.96754225490003,0.05475751830775916,5.163088847044617
sub-064,1,37.923239967373405,291.54791259765625,112.35509618679414,47.90519631904209,0.06652328052155032,4.941532542005751
sub-064,2,35.6507132924132,307.0988006591789,119.35033091560774,50.342157404924436,0.0801588093560036,5.0046092968144595
sub-065,1,29.26873506533594,285.4021606445296,110.6026611328125,44.39002508987227,0.07447912320667056,4.81412732809399
sub-065,2,29.05289296553802,282.1430969238265,111.12336651087456,44.70658671177661,0.08433069038999895,4.75239163698674
sub-067,1,46.51462300015175,309.11753845214804,131.49183882567775,55.21896126491135,0.10703972553192326,4.81658347170007
sub-067,2,40.80014410401671,315.4125442504881,133.2343290825089,56.98967903822506,0.09686635040246092,4.722635942077039
sub-068,1,32.14740575952341,278.220458984375,105.33257319058353,42.98189014317909,0.0907763302860264,5.036710820251726
sub-068,2,32.8176518867876,279.2081375122068,106.07584307378178,43.61807402064703,0.10286971775297088,5.067915956949347
sub-070,1,56.50109288993703,273.6322937011719,112.46975642971773,46.18588326341624,0.0711796587292952,5.007580363121745
sub-070,2,57.74147778047896,276.20367431640625,115.79117647962944,47.713185236085636,0.06338594247050328,4.975557186803588
